MMSI,segment_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,route_distance_km,direct_distance_km,duration_hours,average_speed_knots,maximum_speed_knots,num_records,moving_records
200134975,1,2024-08-02 09:58:15,2024-08-03 11:14:11,37.38095,24.72063333333333,37.43606666666667,24.9393,42.5891754743567,19.313987850093923,25.265555555555554,4.096496619545175,7.9,2122,1627
200134975,4,2024-09-02 12:06:18,2024-09-04 16:49:13,37.4361,24.939233333333338,37.4377,24.94165,13.57079871862615,0.21339338327683494,52.71527777777778,2.794331983805668,4.3,9171,247
201622454,5,2024-07-01 19:50:59,2024-07-01 22:37:23,37.362555,24.811388333333333,37.217416666666665,25.725328333333337,80.8586545482932,80.85121925436876,2.7733333333333334,16.05721544715447,16.400000000000002,984,984
201622454,7,2024-07-02 20:59:45,2024-07-03 02:57:27,36.989041666666665,26.661528333333333,37.38918666666667,24.74742833333333,192.5575630404078,169.55371562485476,5.961666666666667,15.76974697469747,16.7,1818,1818
201622454,8,2024-07-03 20:04:20,2024-07-03 22:34:39,37.362878333333335,24.811721666666667,37.231316666666665,25.632766666666665,78.31476955512673,72.6265251232643,2.5052777777777777,16.032981783317354,16.900000000000002,1043,1043
201622454,10,2024-07-04 23:40:18,2024-07-05 03:10:55,37.16704,25.88483833333333,37.393103333333336,24.737301666666667,145.484053889185,101.52952106187347,3.5102777777777776,16.040577889447235,16.400000000000002,796,796
201622454,11,2024-07-05 20:53:05,2024-07-06 01:52:12,37.524618333333336,24.95938,37.80620166666667,26.52034833333333,157.07164168889574,137.3969537936033,4.985277777777778,15.627840909090908,16.6,704,704
201622454,12,2024-07-08 19:39:48,2024-07-08 21:49:24,37.36528166666667,24.816285,37.25112833333333,25.492536666666663,209.9687097915078,59.80993830309998,2.16,15.36481012658228,16.0,790,790
201622454,13,2024-07-09 22:39:48,2024-07-10 02:57:19,37.101615,26.256656666666668,37.34838833333333,24.8427,192.89439338122685,125.19206733834632,4.291944444444445,16.101052631578945,16.7,1140,1140
201622454,14,2024-07-10 19:53:51,2024-07-11 01:35:39,37.36058666666667,24.825746666666667,37.009185,26.59256,157.97696268813164,156.51619726351586,5.696666666666666,15.263182897862235,16.0,2526,2526
201622454,15,2024-07-11 22:00:50,2024-07-12 03:10:20,37.07294666666667,26.426936666666663,37.39180833333333,24.74357833333333,163.75983894599793,149.029629227932,5.158333333333333,16.070405982905985,17.1,1872,1872
201622454,16,2024-07-12 21:01:53,2024-07-12 22:12:52,37.52859,24.94717333333333,37.54242333333333,25.32425,51.229466961425274,33.24868584165669,1.1830555555555555,15.609565217391303,16.1,460,460
201622454,18,2024-07-14 10:32:25,2024-07-14 11:10:25,37.677685,26.06463,37.636915,25.865621666666662,36.688006687640474,17.519015452730365,0.6333333333333333,15.37826086956522,15.9,115,115
201622454,19,2024-07-14 12:27:25,2024-07-14 14:03:31,37.5414,25.475475,37.52688333333333,24.95117833333333,80.61851834653933,46.230600856765854,1.6016666666666666,15.852571428571428,16.900000000000002,700,700
201622454,20,2024-07-15 20:01:51,2024-07-16 02:45:51,37.35552,24.83537833333333,36.90014,26.93907833333333,196.64977284527015,186.4988457660901,6.733333333333333,15.486906077348063,16.2,1810,1810
201622454,21,2024-07-16 21:32:50,2024-07-17 03:02:22,37.022415,26.58617,37.38858333333334,24.748308333333338,194.12590202238113,162.76539589312296,5.492222222222222,16.603837342497137,17.3,1746,1746
201622454,22,2024-07-17 20:02:43,2024-07-18 01:00:08,37.36058333333333,24.82772,37.075091666666665,26.381915,144.62514692404483,137.6215471434843,4.956944444444445,15.357913832199548,16.400000000000002,2205,2205
201622454,23,2024-07-18 22:13:05,2024-07-19 01:36:53,37.07081,26.436895,37.264695,25.313268333333333,104.4408791525396,99.56211436403267,3.3966666666666665,16.087291501191423,17.1,1259,1259
205811699,24,2024-07-01 23:31:38,2024-07-02 15:32:43,36.84289666666667,24.82201166666667,37.331626666666665,24.865006666666662,86.69517452598433,3.929873747575763,16.018055555555556,11.74445196211096,13.9,1685,1478
205811699,25,2024-07-04 01:44:37,2024-07-04 02:43:01,36.825125,24.840355,36.744895,25.176011666666668,32.289712061670244,29.89217897365693,0.9733333333333334,17.29402985074627,17.6,134,134
205811699,26,2024-07-04 23:45:44,2024-07-05 15:28:21,37.00304666666667,24.87479,37.19025,24.74154,118.63711401252701,11.823661034160136,15.710277777777778,12.354900849858359,21.6,1986,1765
205811699,27,2024-07-18 23:22:32,2024-07-19 13:16:12,36.955711666666666,24.87264,37.28276666666667,24.830911666666665,95.37772168637582,3.753858957844345,13.894444444444444,11.81338495575221,18.5,2108,1808
205811699,28,2024-07-29 23:25:56,2024-07-30 16:18:55,36.89442,24.887173333333333,37.22666666666667,24.794675,91.78964454446384,8.232931108315242,16.883055555555554,9.496852957135104,12.0,2016,1843
205811699,29,2024-08-01 22:27:46,2024-08-02 15:51:25,36.84857,24.956838333333337,37.260243333333335,24.80331,107.57908912767013,13.64746755116421,17.394166666666667,11.321958456973293,21.9,1850,1685
205811699,30,2024-08-15 22:14:47,2024-08-16 13:35:57,36.836261666666665,24.984591666666667,37.21262333333333,24.757473333333333,116.45375759316588,20.175630596532095,15.352777777777778,12.268309485956545,18.7,2086,1887
205811699,31,2024-08-27 00:32:57,2024-08-27 16:26:11,37.05718333333333,24.90479833333333,37.203445,24.750746666666668,100.72043291002403,13.659886025291643,15.887222222222222,9.203173749327593,15.0,2087,1859
205811699,32,2024-09-12 21:57:14,2024-09-13 14:10:06,36.85054,24.961336666666668,37.20884,24.754583333333333,116.54918025823432,18.366419542969698,16.214444444444446,12.664258760107815,20.4,2087,1855
205811699,33,2024-09-23 23:57:07,2024-09-24 16:14:07,37.050135,24.90079,37.23597333333333,24.807931666666665,96.62968397305733,8.23855181218073,16.283333333333335,10.014100294985248,13.0,1980,1695
205811699,35,2024-09-26 22:40:00,2024-09-27 08:34:01,36.868588333333335,24.91072,37.465765,25.31972,83.18681729898866,36.25863496768783,9.900277777777777,14.881064270905322,21.8,1965,1447
226225103,36,2024-07-02 06:29:53,2024-07-03 01:25:59,37.118001666666665,24.624776666666666,36.87168,24.989331666666665,106.5443895653701,32.379609852026114,18.935,15.485462776659961,17.6,2438,1988
226225103,37,2024-07-09 02:43:00,2024-07-09 07:33:57,37.152875,24.69614333333333,37.4654,25.315316666666668,81.2352281198975,54.76378526409072,4.849166666666667,15.65782178217822,17.400000000000002,1206,1010
